BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18	T01	T02	T03
10	3E-13	1E10	1E10	1E-30	3.61841685305231E-10	1E10	1E-30	1E10	0.432016823361811	6.98171159762271E-11	7.4394483941081E-13	0.478606392836255	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
11	4E-13	1E10	1E10	1E-30	2.74114187737552E-10	1E10	1E-30	1E10	0.473484112043793	2.15143668575098E-11	2.26908325067389E-12	1.41293296417291	8.2772102957411E-13	4.57658236514319E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
12	4E-13	1E10	1E10	1E-30	2.74114187737552E-10	1E10	1E-30	1E10	0.473484112043793	2.15143668575098E-11	2.26908325067389E-12	1.41293296417291	8.2772102957411E-13	4.57658236514319E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
13	4E-13	1E10	1E10	1E-30	2.74114187737552E-10	1E10	1E-30	1E10	0.473484112043793	2.15143668575098E-11	2.26908325067389E-12	1.41293296417291	8.2772102957411E-13	4.57658236514319E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
14	4E-13	1E10	1E10	1E-30	2.74114187737552E-10	1E10	1E-30	1E10	0.473484112043793	2.15143668575098E-11	2.26908325067389E-12	1.41293296417291	8.2772102957411E-13	4.57658236514319E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
15	4E-13	1E10	1E10	1E-30	3.48426253496753E-10	1E10	1E-30	1E10	0.411743321939356	5.9388612687965E-11	8.71789721849642E-13	0.677060249212599	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
16	4E-13	1E10	1E10	1E-30	3.48426253496753E-10	1E10	1E-30	1E10	0.411743321939356	5.9388612687965E-11	8.71789721849642E-13	0.677060249212599	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
17	5E-13	1E10	1E10	1E-30	3.40055032300084E-10	1E10	1E-30	1E10	0.448731889424425	4.29862596560228E-11	1.24522933213105E-12	0.932224407865961	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
18	5E-13	1E10	1E10	1E-30	3.40055032300084E-10	1E10	1E-30	1E10	0.448731889424425	4.29862596560228E-11	1.24522933213105E-12	0.932224407865961	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
19	5E-13	1E10	1E10	1E-30	3.40055032300084E-10	1E10	1E-30	1E10	0.448731889424425	4.29862596560228E-11	1.24522933213105E-12	0.932224407865961	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
20	5E-13	1E10	1E10	1E-30	3.40055032300084E-10	1E10	1E-30	1E10	0.448731889424425	4.29862596560228E-11	1.24522933213105E-12	0.932224407865961	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
21	5E-13	1E10	1E10	1E-30	3.47428074685492E-10	1E10	1E-30	1E10	0.376983724780766	1.38722182688565E-10	4.31471431996339E-13	0.361207072940914	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
22	5E-13	1E10	1E10	1E-30	3.47428074685492E-10	1E10	1E-30	1E10	0.376983724780766	1.38722182688565E-10	4.31471431996339E-13	0.361207072940914	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
23	6E-13	1E10	1E10	1E-30	3.03986178624526E-10	1E10	1E-30	1E10	0.393793588744818	3.38626921558393E-11	1.50958481092774E-12	0.918604661275781	2.07320500206247E-12	2.21771754945509E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
24	6E-13	1E10	1E10	1E-30	3.03986178624526E-10	1E10	1E-30	1E10	0.393793588744818	3.38626921558393E-11	1.50958481092774E-12	0.918604661275781	2.07320500206247E-12	2.21771754945509E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
25	6E-13	1E10	1E10	1E-30	3.03986178624526E-10	1E10	1E-30	1E10	0.393793588744818	3.38626921558393E-11	1.50958481092774E-12	0.918604661275781	2.07320500206247E-12	2.21771754945509E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
26	6E-13	1E10	1E10	1E-30	3.03986178624526E-10	1E10	1E-30	1E10	0.393793588744818	3.38626921558393E-11	1.50958481092774E-12	0.918604661275781	2.07320500206247E-12	2.21771754945509E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
27	6E-13	1E10	1E10	1E-30	3.04785383007467E-10	1E10	1E-30	1E10	0.334385656124728	3.42475932696509E-11	1.4484497720285E-12	0.769291362300561	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
28	6E-13	1E10	1E10	1E-30	3.04785383007467E-10	1E10	1E-30	1E10	0.334385656124728	3.42475932696509E-11	1.4484497720285E-12	0.769291362300561	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
29	7E-13	1E10	1E10	1E-30	2.25778896735995E-10	1E10	1E-30	1E10	0.368987240373569	3.23694858882686E-11	1.8131895113739E-12	1.0297085659636	3.94714257017808E-13	7.93622029054954E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
30	7E-13	1E10	1E10	1E-30	2.25778896735995E-10	1E10	1E-30	1E10	0.368987240373569	3.23694858882686E-11	1.8131895113739E-12	1.0297085659636	3.94714257017808E-13	7.93622029054954E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
31	7E-13	1E10	1E10	1E-30	2.25778896735995E-10	1E10	1E-30	1E10	0.368987240373569	3.23694858882686E-11	1.8131895113739E-12	1.0297085659636	3.94714257017808E-13	7.93622029054954E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
32	7E-13	1E10	1E10	1E-30	2.25778896735995E-10	1E10	1E-30	1E10	0.368987240373569	3.23694858882686E-11	1.8131895113739E-12	1.0297085659636	3.94714257017808E-13	7.93622029054954E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
33	7E-13	1E10	1E10	1E-30	2.86673745247848E-10	1E10	1E-30	1E10	0.313066379877215	9.41258658171109E-11	6.24328274854455E-13	0.371161222345116	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
34	7E-13	1E10	1E10	1E-30	2.86673745247848E-10	1E10	1E-30	1E10	0.313066379877215	9.41258658171109E-11	6.24328274854455E-13	0.371161222345116	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
35	8E-13	1E10	1E10	1E-30	2.16760364877199E-10	1E10	1E-30	1E10	0.351251876511036	3.27519708587022E-11	1.79201467155616E-12	1.01768339495612	2.96850848909745E-13	9.08179492789946E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
36	8E-13	1E10	1E10	1E-30	2.16760364877199E-10	1E10	1E-30	1E10	0.351251876511036	3.27519708587022E-11	1.79201467155616E-12	1.01768339495612	2.96850848909745E-13	9.08179492789946E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
37	8E-13	1E10	1E10	1E-30	2.16760364877199E-10	1E10	1E-30	1E10	0.351251876511036	3.27519708587022E-11	1.79201467155616E-12	1.01768339495612	2.96850848909745E-13	9.08179492789946E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
38	8E-13	1E10	1E10	1E-30	2.16760364877199E-10	1E10	1E-30	1E10	0.351251876511036	3.27519708587022E-11	1.79201467155616E-12	1.01768339495612	2.96850848909745E-13	9.08179492789946E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
39	8E-13	1E10	1E10	1E-30	3.01007423501116E-10	1E10	1E-30	1E10	0.291029050286422	5.19392977456179E-11	1.03316277965066E-12	0.628563904995742	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
40	8E-13	1E10	1E10	1E-30	3.01007423501116E-10	1E10	1E-30	1E10	0.291029050286422	5.19392977456179E-11	1.03316277965066E-12	0.628563904995742	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
41	9E-13	1E10	1E10	1E-30	2.65964291303541E-10	1E10	1E-30	1E10	0.345694857182669	1.62829606862516E-10	3.82110173442317E-13	0.287376136722227	9.98523092105271E-13	4.08613589759024E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
42	9E-13	1E10	1E10	1E-30	2.65964291303541E-10	1E10	1E-30	1E10	0.345694857182669	1.62829606862516E-10	3.82110173442317E-13	0.287376136722227	9.98523092105271E-13	4.08613589759024E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
43	9E-13	1E10	1E10	1E-30	2.65964291303541E-10	1E10	1E-30	1E10	0.345694857182669	1.62829606862516E-10	3.82110173442317E-13	0.287376136722227	9.98523092105271E-13	4.08613589759024E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
44	9E-13	1E10	1E10	1E-30	2.65964291303541E-10	1E10	1E-30	1E10	0.345694857182669	1.62829606862516E-10	3.82110173442317E-13	0.287376136722227	9.98523092105271E-13	4.08613589759024E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
45	9E-13	1E10	1E10	1E-30	2.92501791166327E-10	1E10	1E-30	1E10	0.287828917178751	4.50318022685079E-11	1.13598614773938E-12	0.614390052669722	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
